BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
32803,6223906,32803,"Slope, Curved 2 x 2 x 2/3 Inverted",59,320,Dark Red,Solid Colors,5,0.67
32803,6211476,32803,"Slope, Curved 2 x 2 x 2/3 Inverted",11,0,Black,Solid Colors,1,0.67
3298,329826,3298,Slope 33 3 x 2,11,0,Black,Solid Colors,1,1.27
35480,6210270,35480,"Plate, Round 1 x 2 with Open Studs",11,0,Black,Solid Colors,5,0.26
35480,6212040,35480,"Plate, Round 1 x 2 with Open Studs",59,320,Dark Red,Solid Colors,4,0.26
35787,6288635,35787,"Tile, Modified 2 x 2 Triangular",59,320,Dark Red,Solid Colors,16,0
37494,6226706,37494,Bar   3.6L Double with Angled Ends (Train Pantograph Shoe),11,0,Black,Solid Colors,1,0.6
3795,379526,3795,Plate 2 x 6,11,0,Black,Solid Colors,2,1.74
4032,4211042,4032,"Plate, Round 2 x 2 with Axle Hole",85,72,Dark Bluish Gray,Solid Colors,2,0.37
40490,4645732,40490,"Technic, Liftarm Thick 1 x 9",11,0,Black,Solid Colors,4,2.59
4070,4211044,4070,"Brick, Modified 1 x 1 with Headlight",85,72,Dark Bluish Gray,Solid Colors,2,0.36
42862,6257448,42862,Wedge 3 x 3 Sloped Left,59,320,Dark Red,Solid Colors,2,0
43722,6267492,43722,"Wedge, Plate 3 x 2 Right",59,320,Dark Red,Solid Colors,3,0.64
43722,4180508,43722,"Wedge, Plate 3 x 2 Right",11,0,Black,Solid Colors,1,0.64
43723,6267490,43723,"Wedge, Plate 3 x 2 Left",59,320,Dark Red,Solid Colors,3,0.64
43723,4180536,43723,"Wedge, Plate 3 x 2 Left",11,0,Black,Solid Colors,1,0.64
44728,6117973,44728,Bracket 1 x 2 - 2 x 2,11,0,Black,Solid Colors,4,0.8
4488,6482959,4488,"Plate, Modified 2 x 2 with Wheel Holder",11,0,Black,Solid Colors,2,0
47407,6275502,47407,"Wedge, Plate 4 x 6",59,320,Dark Red,Solid Colors,1,1.88
47456,6171890,47456,"Slope, Curved 3 x 2 x 2/3 with 2 Studs, Wing End",59,320,Dark Red,Solid Colors,3,1.0
48165,6257449,48165,Wedge 3 x 3 Sloped Right,59,320,Dark Red,Solid Colors,2,0
48336,4225201,48336,"Plate, Modified 1 x 2 with Bar Handle on Side - Closed Ends",11,0,Black,Solid Colors,4,0.54
50304,4251393,50304,"Wedge, Plate 8 x 3 Pentagonal Right",11,0,Black,Solid Colors,1,2.5
50305,4251394,50305,"Wedge, Plate 8 x 3 Pentagonal Left",11,0,Black,Solid Colors,1,2.5
50950,4541546,50950,"Slope, Curved 3 x 1",59,320,Dark Red,Solid Colors,4,0.75
53451,6270109,53451,Barb / Claw / Horn / Tooth - Small,115,297,Pearl Gold,Pearl Colors,6,0.1
53585,4286267,53585,Technic Ball Joint with Through Axle Hole,11,0,Black,Solid Colors,6,0.38
54200,4531415,54200,Slope 30 1 x 1 x 2/3,59,320,Dark Red,Solid Colors,10,0.21
54200,6245287,54200,Slope 30 1 x 1 x 2/3,50,37,Trans-Dark Pink,Transparent Colors,2,0.21
54383,4539068,54383,"Wedge, Plate 6 x 3 Right",59,320,Dark Red,Solid Colors,2,1.5
54384,4539069,54384,"Wedge, Plate 6 x 3 Left",59,320,Dark Red,Solid Colors,2,1.5
54657,6267047,54657,Hinge Plate 1 x 2 Locking with 2 Fingers on End and 7 Teeth without Bottom Groove,85,72,Dark Bluish Gray,Solid Colors,2,0
60849,6322497,60849,"Minifigure, Utensil Hose Nozzle Elaborate",220,353,Coral,Solid Colors,2,0
61252,6360110,61252,"Plate, Modified 1 x 1 with Open O Clip (Horizontal Grip)",59,320,Dark Red,Solid Colors,14,0.27
4073,6514060,4073,"Plate, Round 1 x 1",50,37,Trans-Dark Pink,Transparent Colors,6,0.12
61678,6042953,61678,"Slope, Curved 4 x 1",59,320,Dark Red,Solid Colors,4,0.8
65249,,65249,"Technic, Axle  2L with Pin without Friction Ridges",11,0,Black,Solid Colors,2,0.3
69858,,69858,"Wave Rounded Curved Single with Bar End (Flame, Sword)",223,362,Satin Trans-Light Blue,Satin Colors,10,0.19
98313,6276866,98313,"Arm Mechanical, Exo-Force / Bionicle, Thick Support",59,320,Dark Red,Solid Colors,2,0.4
76766,6268214,76766,Bracket 5 x 2 x 2 1/3 with 2 Holes and Bottom Stud Holder,59,320,Dark Red,Solid Colors,2,0
85861,6190252,85861,"Plate, Round 1 x 1 with Open Stud",115,297,Pearl Gold,Pearl Colors,6,0.1
85861,6168645,85861,"Plate, Round 1 x 1 with Open Stud",59,320,Dark Red,Solid Colors,5,0.1
85943,6324639,85943,"Technic, Brick 1 x 2 with Hole and Dual Liftarm Extensions",85,72,Dark Bluish Gray,Solid Colors,4,1.34
87079,6186003,87079,Tile 2 x 4,59,320,Dark Red,Solid Colors,2,0.9
87994,6093525,87994,Bar   3L (Bar Arrow),11,0,Black,Solid Colors,1,0.2
92013,4619763,92013,"Technic, Brick Modified 2 x 2 with Ball Socket and Axle Hole - Straight Forks with Round Ends and Open Sides",11,0,Black,Solid Colors,3,1.98
92280,4598528,92280,"Plate, Modified 1 x 2 with Clip with Center Cut on Top",11,0,Black,Solid Colors,4,0.4
92582,6265730,92582,Hinge Plate 2 x 2 Locking with 1 Finger on Top,11,0,Black,Solid Colors,2,0.75
92946,6251611,92946,Slope 45 2 x 1 with 2/3 Cutout,59,320,Dark Red,Solid Colors,2,0
93273,6000752,93273,"Slope, Curved 4 x 1 x 2/3 Double",59,320,Dark Red,Solid Colors,2,0.6
93274,6118829,93274,Bracket 1 x 2 - 2 x 4,11,0,Black,Solid Colors,1,1.29
99207,6000650,99207,Bracket 1 x 2 - 2 x 2 Inverted,11,0,Black,Solid Colors,6,0.8
99781,6016172,99781,Bracket 1 x 2 - 1 x 2,11,0,Black,Solid Colors,2,0.55
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
290,151.15,,,,,,,,
